num,magazine_tag_list,magazine_id
0,"['브런치북', '육아일기', '대화법', '들려주고픈이야기']",38842
1,"['tea', 'food']",11540
2,['food'],11541
3,"['브런치북', '일상', '시', '사람']",11546
4,"['감성에세이', '노래', '음악에세이']",11544
5,"['공간감성어', '사전구축', '감성분석']",11545
6,"['여행', '에세이', '길고양이']",11548
7,"['다이어리', '일기장', '나의삶']",11549
8,"['여행', '스타트업', '마케터']",5988
9,"['일본', '그린즈', '웹진']",5989
10,"['기록', '마케팅', '인사이트']",19399
11,"['기도', '하나님', '예수']",5982
12,"['리뷰', '영화', '책']",5983
13,"['취업', '자기계발', '일본']",5980
14,"['리뷰', '전시', '미술']",19393
15,"['벤처', 'VC', '심사역']",5987
16,"['인생', '안녕']",19390
17,"['사진', '사진갤러리', '온라인사진전']",270
18,['사소한일상'],19972
19,"['제주도', '제주작가', 'JEJU']",272
20,"['영화', '드라마', '책']",19970
21,"['광고', '광고리뷰', '마케팅']",275
22,"['책', '독서', '모임']",276
23,"['스마트폰', 'it', '태블릿PC']",277
24,"['퍼실리테이션', '조직문화', '조직개발']",16704
25,"['브런치북', '서평', '비즈니스', '영업']",16707
26,"['책', '이야기', '독서토론']",16706
27,"['시', '시인', '너를위한글']",16701
28,"['꿈꾸는바보들을위하여', '꿈바보', '리프']",16703
29,"['여행', '에세이', '세계일주']",16702
30,"['샐러던트', '직장인공부', '대학원일상']",12018
31,"['유럽여행', '여행에세이', '여행기록']",12015
32,"['소설', '이야기', '추리소설']",12014
33,['인문학'],12016
34,"['ux', '사용자경험', 'study']",12013
35,['여행'],12012
36,"['에세이', '청춘', '수필']",17259
37,['이별'],17250
38,"['포토에세이', '유럽여행', '바르셀로나']",17252
39,"['여행', '부부', '스웨덴']",17253
40,['영화'],17255
41,"['여행', '해외여행', '관광학']",17257
42,"['여행', '여행소설', '여행담']",10709
43,"['car', 'carplat', 'plat']",10708
44,"['취미', '일상', '음악']",10703
45,"['연애', '여자생각', '연애조언']",9254
46,"['세계여행', '외국여행', '행복한추억']",10700
47,"['감동', '인생', '성장']",9252
48,"['모바일', '모바일앱', '태블릿']",9253
49,"['연극', '공연', '대학로']",10705
50,"['세계여행', '유럽여행', '여행에세이']",9251
51,"['글쓰기', '영감', '주관']",46791
52,"['장애인여행', '휠체어여행', '이지트립']",46796
53,"['에세이', '마음', '감성']",21614
54,"['일상', '에세이', '글귀']",21611
55,"['취향', '취미', '브랜드']",19397
56,"['여행', '유럽', '해외여행']",19396
57,"['사랑', '연애', '너']",45446
58,"['마케팅', '트렌드', '인사이트']",45445
59,"['영화', '호러', '공포영화']",44799
60,"['영화', '영화음악', '사운드트랙']",44798
61,"['독서', '마음', '감성에세이']",44791
62,"['회사생활', '마케터', '개복치']",44790
63,"['기억', '과거와현재', '그리고미래']",44793
64,"['tea', '차한잔', 'teatime']",44792
65,"['리뷰', '경험', '후기']",44795
66,"['경험', '비즈니스', '업무']",44794
67,"['콘텐츠', '방송', 'broadcast']",22741
68,"['부부', '라이프스타일', '제주살이']",44796
69,"['미래', '일', '커리어']",46863
70,['위클리매거진'],22747
71,"['소통', '스피치', '커뮤니케이션']",13052
72,"['서울', '잡생각', '회사원']",13053
73,"['일상', '일기', '인생']",13051
74,['독서'],13057
75,"['일상', '이벤트']",13054
76,"['넌할수있어', '에세이넌할수있어', '네이버해피빈']",20258
77,"['야구', '남자', '설명']",20259
78,['마음속대사'],20252
79,"['일상', '에세이', '방송작가']",20253
80,"['그림책', '그림책편지', '그림책큐레이팅']",20250
81,"['라디오', '감성', '노래']",20251
82,"['고양이', '벵갈', '스코티쉬스트레이트']",20257
83,"['인생', '서른', '버킷리스트']",44427
84,"['브런치북', '오늘도멜랑꼴리']",40967
85,"['브런치북', '일상', '에세이', '생각']",40964
86,"['브런치북', '일하는엄마', '출산파업', '엄마됨']",40965
87,"['사랑', '시', '비']",29769
88,"['그림', '사진', '큐레이션']",29768
89,"['중국문화', '차이야기', '중국차']",44421
90,"['브런치북', '영어공부', '영어독학', '통역사']",40961
91,"['학원강사', '사교육', '학원']",29764
92,"['비즈니스영어', '이메일영어', '무역영어']",29767
93,"['영어', '면접', '해외영업']",29766
94,"['브런치북', '직장생활', '회사', '미생인생들']",29761
95,"['사랑', '외로움', '홀로']",29760
96,"['브런치북', '직장인', '백수', '프리랜서']",40968
97,"['봄날', '두런두런']",29762
98,"['레시피', '요리', '1인가구']",1177
99,"['일상', '에세이', '감성에세이']",1174
100,"['법', '최철민', '법상식']",29929
101,"['traveler', 'arinlee', '이아린']",23509
102,"['브런치북', '영어회화', '영어공부법', '해외영어비법']",23508
103,"['클래식음악', '유럽음악', '뮤직인사이드']",23507
104,"['IT', 'UX', 'Tech']",23506
105,"['여행', '국내여행', '궁궐']",23505
106,"['일본여행', '일본문화', '일본생활']",1179
107,"['인생중반에쓰는자서전', '마음을되돌아보다', '자유를선물하다']",23500
108,"['여행', '모험', '두리의모험']",29927
109,"['뷰티', '사십대', '화장품']",29926
110,"['지속가능발전', '문화와지속가능성', '지속가능발전교육']",27617
111,"['브런치북', '영어공부', '영어', '영어오답노트']",27616
112,"['운동', '건강', '스트레칭']",27615
113,"['청년', '생존', '사회적응']",27614
114,"['리뷰', '책', '독후감']",27610
115,"['책', '독서', '이야기']",16880
116,"['일상', '육아', '워킹맘']",44705
117,"['에세이', '문화', '이슈']",12831
118,"['여행', '세계여행', '배낭여행']",8544
119,"['브런치북', '행복', '코칭', '행복코칭']",8547
120,['startup'],8546
121,"['태양계', '행성', '천문']",628
122,"['그림', '일상단상', '글그림']",22676
123,"['브런치북', '에세이', '캐나다', '이민']",22677
124,"['브런치북', '여행', '베트남', '세계']",22674
125,"['정치', '출판', '정치도서']",22675
126,"['교육', '공부', '수학']",22670
127,"['에세이', '과학', '에너지']",26568
128,"['브런치북', '삶', '음식', '일']",26569
129,"['일상', '에세이', '일기']",26566
130,"['그림', '글', '일러스트']",26567
131,"['그림', '낙서', '그리기']",26564
132,"['일기', '다이어리']",26565
133,"['창업', '썰', '숙박업소']",26562
134,"['브런치북', '육아', '일상에세이', '그림에세이']",26563
135,['위클리매거진'],26561
136,"['그림', '이야기', '잡담']",15556
137,"['브런치북', '시', '인연', '공감']",8297
138,"['모바일게임', '콘솔게임', 'VR']",392
139,"['스마트폰', '모바일', '웨어러블']",391
140,"['리뷰', 'review']",390
141,"['drone', 'DJI', '팬텀']",397
142,"['전셋집', '전셋집구하기', '전세']",396
143,"['경제', '경제학']",395
144,"['드로잉', '건축', '스케치']",394
145,"['여행', '해외여행', '여행사진']",398
146,['못해도괜찮아'],32225
147,"['1일1시', '100lab']",32226
148,"['IT', '프로덕트매니저', '서비스기획']",32227
149,"['건축', '친친디', '수익형건축']",32220
150,"['과학', '기술', '지적장난감']",32221
151,"['브런치북', '결혼', '웨딩', '결혼준비']",32222
152,"['일상', '일기', '함께써요']",32223
153,"['글쓰기', '콘텐츠', '창작']",32228
154,"['브런치북', '책', '독서', '일기']",32229
155,"['시작이반', '좋은습관은어렵다']",41067
156,['컴퓨터과학'],3749
